"Planet Name","Pl. Mass","Pl. Radius","Pl. Period","Pl. Semi-axis","Pl. Ecc.","Pl. Incl.","Ang. Dist.","St. Dist","St. Spec. Type","St. Mass","St. [Fe/H]","St. Right Asc.","St. Decli.","St. Mag. V.","St. Mag. I","St. Mag. H","St. Mag. J","St. Mag. K","St. Radius",
"HD 134987 c","0.82",,"5000","5.8","0.12",,"0.232","25","G5 V","1.05","0.23","15 13 28","-25 18 33","6.45",,,,,"1.2",
"HD 136418 b","2",,"464.3","1.32","0.255",,"0.013442","98.2","G5","1.33","-0.07","15 19 07","+41 43 60","7.88",,,,,"3.4",
"HD 13931 b","1.88",,"4218","5.15","0.02",,"0.116516","44.2","G0","1.02","0.03","02 16 47","+43 46 23","7.61",,,,,"1.23",
"HD 139357 b","9.76",,"1125.7","2.36","0.1",,"0.01944","121.4","K4III","1.35","-0.13","15 35 16","+53 55 20","5.98",,,,,"11.47",
"HD 141937 b","9.7",,"653.22","1.52","0.41",,"0.045","33.46","G2/G3 V","1","0.16","15 52 17","-18 26 09","7.25",,,,,"1.06",
"HD 142 b","1.03",,"339","1","0.37",,"0.048544","20.6","G1 IV","1.1","0.04","00 06 19","-49 04 30","5.7",,,,,"0.86",
"HD 142022 A b","4.4",,"1923","2.8","0.57",,"0.078","35.87","K0 V","0.99","0.19","16 10 15","-84 13 53","7.7",,,,,"0.705",
"HD 142415 b","1.62",,"386.3","1.05","0.5",,"0.031","34.2","G1 V","1.09","0.21","15 57 40","-60 12 00","7.34",,,,,"1.03",
"HD 143361 b","3.12",,"1057","2","0.15",,"0.033698","59.35","G0V","0.95","0.29","16 01 50","-44 26 04","9.2",,,,,,
"HD 145377 b","5.76",,"103.95","0.45","0.307",,"0.007799","57.7","G3V","1.12","0.12","16 11 36","-27 04 41","8.12",,,,,"1.14",
"HD 145457 b","2.9",,"176.3","0.76","0.112",,"0.006032","126","K0","1.9","-0.14","16 10 04","+26 44 34","6.57",,,,,"9.9",
"HD 1461 b","0.0239",,"5.7727","0.063438","0.14",,"0.002711","23.4","G0V","1.08","0.19","00 18 42","-08 03 11","6.64",,,,,"1.095",
"HD 147018 b","2.12",,"44.236","0.2388","0.4686",,"0.005559","42.96","G9V","0.927","0.1","16 23 00","-61 41 20","8.3",,,,,,
"HD 147018 c","6.56",,"1008","1.922","0.133",,"0.044739","42.96","G9V","0.927","0.1","16 23 00","-61 41 20","8.3",,,,,,
"HD 147513 b","1",,"540.4","1.26","0.52",,"0.098","12.9","G3/G5V","0.92","-0.03","16 24 01","-39 11 34","5.37",,,,,"1",
"HD 148156 b","0.85",,"1010","2.45","0.52",,"0.046183","53.05","G1V","1.22","0.29","16 28 17","-46 19 03","7.71",,,,,,
"HD 148427 b","0.96",,"331.5","0.93","0.16",,"0.015683","59.3","K0IV","1.45","0.154","16 28 28","-13 23 59","6.89",,,,,"3.22",
"HD 149026 b","0.356","0.61","2.8758887","0.04288","0.0","85.3","0.000543","78.9","G0 IV","1.3","0.36","16 30 29","+38 20 50","8.15",,,,,"1.497",
"HD 149143 b","1.33",,"4.072","0.053","0.016",,"0.000841","63","G0 IV","1.21","0.26","16 32 51","+02 05 05","7.9",,,,,,
"HD 149382 b","15.5",,"2.391",,"0.0","39",,"74","B5 D","0.41",,"16 34 23","-04 00 52","8.95",,,,,,
"HD 152079 b","3",,"2097","3.2","0.6",,"0.037572","85.17","G6V","1.023","0.16","16 53 30","-46 19 51","9.18",,,,,,
"HD 153950 b","2.73",,"499.4","1.28","0.34",,"0.025806","49.6","F8V","1.12","-0.01","17 04 31","-43 18 35","7.39",,,,,"1.34",
"HD 154345 b","0.947",,"3340","4.19","0.044","50","0.232004","18.06","G8V","0.88","-0.105","17 02 36","+47 04 55","6.74",,,,,,
"HD 154672 b","5.02",,"163.91","0.6","0.61",,"0.009119","65.8","G3IV","1.06","0.26","17 10 05","-56 26 57","8.22",,"6.7","7.01","6.61","1.27",
"HD 154857 b","1.8",,"409","1.2","0.47",,"0.017518","68.5","G5V","1.17","-0.23","17 11 15","-56 40 50","7.25",,,,,"2.42",
"HD 155358 b","0.89",,"195","0.628","0.112",,"0.014707","42.7","G0","0.87","-0.68","17 09 35","+33 21 21","7.5",,,,,,
"HD 155358 c","0.504",,"530.3","1.224","0.176",,"0.028665","42.7","G0","0.87","-0.68","17 09 35","+33 21 21","7.5",,,,,,
"HD 156411 b","0.74",,"842.2","1.88","0.22",,"0.03412","55.1","F8","1.25","-0.12","17 19 51","-48 32 58","6.67",,,,,,
"HD 156668 b","0.0131",,"4.646","0.05","0.0",,"0.002075","24.1","K2",,,"17 17 40","+29 13 38","8.42",,,,,,
"HD 156846 b","10.45",,"359.51","0.99","0.8472",,"0.020204","49","G0V","1.43","0.22","17 20 34","-19 20 01","6.51",,,,,,
"HD 159868 b","1.7",,"986","2","0.69",,"0.037951","52.7","G5V","1.09",,"17 38 60","-43 08 44","7.24",,,,,,
"HD 16141 b","0.23",,"75.56","0.35","0.21",,"0.01","35.9","G5 IV","1","0.22","02 35 19","-03 33 38","6.78",,,,,"1",
"HD 16175 b","4.4",,"990","2.1","0.59",,"0.035117","59.8","G0","1.35","0.23","02 37 02","+42 03 45","7.28",,"5.92","6.17","5.85","1.87",
"HD 162020 b","13.75",,"8.428198","0.072","0.277",,"0.002","31.26","K2 V","0.8","0.01","17 50 38","-40 19 06","9.18",,,,,"0.71",
"HD 16417 b","0.069",,"17.24","0.14","0.2",,"0.00549","25.5","G1V","1.18","0.19","02 36 59","-34 34 41","5.78",,,,,,
"HD 164604 b","2.7",,"606.4","1.13","0.24",,"0.029737","38","K2V","0.8","-0.18","18 03 07","-28 33 38","9.7",,,,,,
"HD 164922 b","0.36",,"1155","2.11","0.05",,"0.096215","21.93","K0V","0.94","0.17","18 02 30","+26 18 46","7.01",,,,,"0.9",
"HD 167042 b","1.6",,"416.1","1.3","0.03",,"0.026","50","K1III","1.64","0.05","18 10 32","+54 17 12","5.97",,"3.56","3.93","3.55","4.3",
"HD 16760 b","14.3",,"465.1","1.13","0.067",,"0.0226","50","G5V","0.88","-0.02","02 42 21","+38 37 07","8.74",,,,,,
"HD 168443 b","8.02",,"58.11289","0.3","0.5286",,"0.00792","37.88","G5","1.06","0.03","18 20 04","-09 35 34","6.92",,,,,"1.63",
"HD 168443 c","18.1",,"1765.8","2.91","0.2125",,"0.076822","37.88","G5","1.06","0.03","18 20 04","-09 35 34","6.92",,,,,"1.63",
"HD 168746 b","0.23",,"6.403","0.065","0.081",,"0.002","43.12","G5","0.92","-0.07","18 21 49","-11 55 21","7.95",,,,,"1.12",
"HD 169830 b","2.88",,"225.62","0.81","0.31",,"0.022302","36.32","F8 V","1.4","0.21","18 27 49","-29 49 00","5.9",,,,,"1.84",
"HD 169830 c","4.04",,"2102","3.6","0.33",,"0.099119","36.32","F8 V","1.4","0.21","18 27 49","-29 49 00","5.9",,,,,"1.84",
"HD 170469 b","0.67",,"1145","2.24","0.11",,"0.034477","64.97","G5IV","1.14","0.3","18 29 11","+11 41 44","8.21",,,,,"1.22",
"HD 17092 b","4.6",,"359.9","1.29","0.166",,"0.011835","109",,"2.3","0.18","02 46 22","+49 39 11","7.73",,,,,,
"HD 171028 b","1.98",,"550","1.32","0.59",,"0.014667","90","G0","0.99","-0.49","18 32 15","+06 56 45","8.31",,,,,"1.95",
"HD 171238 b","2.6",,"1523","2.54","0.4",,"0.050517","50.28","KOV","0.943","0.17","18 34 44","-28 04 20","8.66",,,,,,
"HD 17156 b","3.191","1.095","21.2163979","0.1623","0.6768","86.49","0.002074","78.24","G0","1.275","0.24","02 49 44","+71 45 12","8.17",,,,,"1.508",
"HD 173416 b","2.7",,"323.6","1.16","0.21",,"0.008593","135","G8","2",,"18 43 36","+36 33 24","6.06",,,,,"13.5",
"HD 175167 b","7.8",,"1290","2.4","0.54",,"0.03581","67.02","G5 IV/V","1.102","0.19","19 00 01","-69 56 39","9.18",,,,,,
"HD 175541 b","0.61",,"297.3","1.03","0.33",,"0.008047","128","G8IV","1.65","-0.07","18 55 41","+04 15 55","8.03",,,,,"3.85",
"HD 176051 b","1.5",,"1016","1.76","0.0",,"0.110069","15.99",,,,"18 57 02","+32 54 05","5.22",,,,,,
"HD 177830 b","1.28",,"391","1","0.43",,"0.017","59","K0IV","1.47","0.55","19 05 20","+25 55 14","7.18",,,,,"2.99",
"HD 177830 c","0.15",,"110.9","0.5137","0.3495",,"0.008707","59","K0IV","1.47","0.55","19 05 20","+25 55 14","7.18",,,,,"2.99",
"HD 178911 B b","6.292",,"71.487","0.32","0.1243",,"0.007","46.73","G5","1.07","0.28","19 09 03","+34 35 59","7.98",,,,,"1.14",
"HD 179079 b","0.08",,"14.476","0.11","0.115",,"0.001727","63.69","G5IV","1.087","0.29","19 11 10","-02 38 18","7.95",,,,,"1.48",
"HD 179949 b","0.95",,"3.0925","0.045","0.022",,"0.001667","27","F8 V","1.28","0.22","19 15 33","-24 10 45","6.25",,,,,"1.19",
"HD 180902 b","1.6",,"479","1.39","0.09",,"0.012636","110","K0III/IV","1.52","0.04","19 19 18","-23 33 29","7.78",,,,,"4.1",
"HD 181342 b","3.3",,"663","1.78","0.177",,"0.016094","110.6","K0III","1.84","0.26","19 21 04","-23 37 10","7.55",,,,,"4.6",
"HD 181433 b","0.0238",,"9.3743","0.08","0.396",,"0.003059","26.15","K3IV","0.78","0.33","19 25 10","-66 28 08","8.38",,"6.24","6.66","6.09",,
"HD 181433 c","0.64",,"962","1.76","0.28",,"0.067304","26.15","K3IV","0.78","0.33","19 25 10","-66 28 08","8.38",,"6.24","6.66","6.09",,
"HD 181433 d","0.54",,"2172","3","0.48",,"0.114723","26.15","K3IV","0.78","0.33","19 25 10","-66 28 08","8.38",,"6.24","6.66","6.09",,
"HD 181720 b","0.37",,"956","1.78","0.26",,"0.031786","56","G1V","0.92","-0.53","19 22 53","-32 55 09","7.86",,,,,,
"HD 183263 b","3.69",,"634.23","1.52","0.38",,"0.028679","53","G2IV","1.17","0.3","19 28 24","+08 21 28","7.86",,,,,"1.21",
"HD 183263 c","3.82",,"2950","4.25","0.253",,"0.080189","53","G2IV","1.17","0.3","19 28 24","+08 21 28","7.86",,,,,"1.21",
"HD 185269 b","0.94",,"6.838","0.077","0.3",,"0.001638","47","G0IV","1.28","0.11","19 37 12","+28 30 00","6.67",,,,,"1.88",
"HD 187085 b","0.75",,"986","2.05","0.47",,"0.045576","44.98","G0 V","1.22","0.05","19 49 33","-37 46 50","7.22",,,,,,
"HD 187123 b","0.52",,"3.097","0.042","0.03",,"0.00084","50","G5","1.06","0.16","19 46 57","+34 25 15","7.86",,,,,"1.17",
"HD 187123 c","1.99",,"3810","4.89","0.252",,"0.0978","50","G5","1.06","0.16","19 46 57","+34 25 15","7.86",,,,,"1.17",
"HD 188015 b","1.26",,"456.46","1.19","0.15",,"0.023","52.6","G5IV","1.09","0.29","19 52 04","+28 06 01","8.22",,,,,"1.1",
"HD 189733 b","1.15","1.151","2.2185733","0.03142","0.0","85.76","0.001628","19.3","K1-K2","0.8","-0.03","20 00 43","+22 42 39","7.67",,,,,"0.788",
"HD 190360 b","1.502",,"2891","3.92","0.36",,"0.246696","15.89","G6 IV","1.04","0.24","20 03 37","+29 53 48","5.71",,,,,"1.2",
"HD 190360 c","0.057",,"17.1","0.128","0.01",,"0.008055","15.89","G6 IV","1.04","0.24","20 03 37","+29 53 48","5.71",,,,,"1.2",
"HD 190647 b","1.9",,"1038.1","2.07","0.18",,"0.038192","54.2","G5","1.1","0.24","20 07 20","-35 32 19","7.78",,,,,,
"HD 190984 b","3.1",,"4885","5.5","0.57",,"0.053398","103","F8V","0.91","-0.48","20 11 31","-64 37 14","8.76",,,,,"1.53",
"HD 192263 b","0.72",,"24.348","0.15","0.0",,"0.007538","19.9","K2 V","0.81","-0.2","20 13 59","-00 52 00","7.79",,,,,"0.75",
"HD 192699 b","2.5",,"351.5","1.16","0.149",,"0.017313","67","G8IV","1.68","-0.15","20 16 06","+04 34 51","6.44",,,,,"4.25",
"HD 195019 b","3.7",,"18.20163","0.1388","0.014",,"0.003715","37.36","G3 IV-V","1.06","0.08","20 28 17","+18 46 12","6.91",,,,,"1.38",
"HD 196050 b","3",,"1289","2.5","0.28",,"0.053305","46.9","G3 V","1.17",,"20 37 51","-60 38 04","7.5",,,,,"1.29",
"HD 196885 b","2.58",,"1333","2.37","0.462",,"0.071818","33","F8V","1.33","0.29","20 39 51","+11 14 58","6.4",,,,,"1.79",
"HD 19994 b","1.68",,"535.7","1.42","0.3",,"0.06345","22.38","F8 V","1.35","0.23","03 12 46","-01 11 45","5.07",,,,,"1.93",
"HD 200964 b","1.85",,"613.8","1.601","0.04",,"0.023406","68.4","KO","1.44","-0.15","21 06 40","+03 48 11","6.64",,,,,"4.3",
"HD 200964 c","0.9",,"825","1.95","0.181",,"0.028509","68.4","KO","1.44","-0.15","21 06 40","+03 48 11","6.64",,,,,"4.3",
"HD 202206 b","17.4",,"255.87","0.83","0.435",,"0.018","46.34","G6 V","1.13","0.37","21 14 57","-20 47 21","8.08",,,,,"1.02",
"HD 202206 c","2.44",,"1383.4","2.55","0.267",,"0.055","46.34","G6 V","1.13","0.37","21 14 57","-20 47 21","8.08",,,,,"1.02",
"HD 20367 b","1.07",,"500","1.25","0.23",,"0.046296","27","G0","1.04","0.1","03 17 40","+31 07 37","6.41",,,,,"1.18",
"HD 2039 b","4.9",,"1183","2.2","0.67",,"0.024499","89.8","G2/G3 IV-V","0.98","0.1","00 24 20","-56 39 00","9.01",,,,,"1.21",
"HD 204313 b","4.05",,"1931","3.082","0.131",,"0.065062","47.37","G5V","1.045","0.18","21 28 12","-21 43 35","7.99",,,,,,
"HD 205739 b","1.37",,"279.8","0.896","0.27",,"0.009922","90.3","F7V","1.22","0.19","21 38 08","-31 44 15","8.56",,"7.35","7.59","7.23","1.33",
"HD 206610 b","2.2",,"610","1.68","0.229",,"0.00866","194","K0","1.56","0.14","21 43 25","-07 24 30","8.34",,,,,"6.1",
"HD 20782 b","1.9",,"591.9","1.381","0.97",,"0.03834","36.02","G2 V","1","-0.05","03 20 03","-28 51 14","7.38",,,,,,
"HD 208487 b","0.45",,"123","0.49","0.32",,"0.010889","45","G2V","1.3","-0.06","21 57 19","-37 45 49","7.48",,,,,"1.15",
"HD 20868 b","1.99",,"380.85","0.947","0.75",,"0.019366","48.9","K3/4IV","0.78","0.04","03 20 43","-33 43 48","9.92",,,,,"0.79",
"HD 209458 b","0.64","1.38","3.52474859","0.04747","0.07","86.677","0.00101","47","G0 V","1","0.04","22 03 10","+18 53 04","7.65",,,,,"1.146",
"HD 210277 b","1.23",,"442.1","1.1","0.472",,"0.051667","21.29","G0","1.09","0.19","22 09 29","-07 32 32","6.63",,,,,"1.1",
"HD 210702 b","2",,"341.1","1.17","0.152",,"0.020893","56","K1III","1.85","0.12","22 11 51","+16 02 26","5.93",,,,,"4.72",
"HD 212301 b","0.45",,"2.457","0.036","0.0",,"0.000683","52.7","F8 V","1.05","0.18","22 27 30","-77 43 04","7.77",,,,,,
"HD 212771 b","2.3",,"373.3","1.22","0.111",,"0.009313","131","G8IV","1.15","-0.21","22 27 03","-17 15 49","7.6",,,,,"5",
"HD 213240 b","4.5",,"951","2.03","0.45",,"0.05","40.75","G4 IV","1.22","0.23","22 31 00","-49 25 59","6.8",,,,,"1.5",
"HD 215497 b","0.017",,"3.93",,,,,"43.5","K3V","0.87","0.23","22 46 37","-56 35 58","8.97",,,,,,
"HD 215497 c","0.33",,"567",,,,,"43.5","K3V","0.87","0.23","22 46 37","-56 35 58","8.97",,,,,,
"HD 216435 b","1.26",,"1311","2.56","0.07",,"0.076877","33.3","G0 V","1.25","0.15","22 53 37","-48 35 53","6.03",,,,,"2",
"HD 216437 b","2.1",,"1294","2.7","0.34",,"0.102","26.5","G4 IV-V","1.07",,"22 54 39","-70 04 25","6.06",,,,,"1.1",
"HD 216770 b","0.65",,"118.45","0.46","0.37",,"0.012","38","K1 V","0.9","0.23","22 55 53","-26 39 31","8.1",,,,,"1",
"HD 217107 b","1.33",,"7.12689","0.073","0.132",,"0.003702","19.72","G8 IV","1.02","0.37","22 58 15","-02 23 42","6.16",,,,,"1.08",
"HD 217107 c","2.49",,"4210","5.27","0.517",,"0.267241","19.72","G8 IV","1.02","0.37","22 58 15","-02 23 42","6.16",,,,,"1.08",
"HD 218566 b","0.21",,"225.7","0.6873","0.3",,"0.022956","29.94","K3V","0.85","0.38","23 09 11","-02 15 39","8.63",,,,,"0.86",
"HD 219449 b","2.9",,"182","0.3",,,"0.006667","45","K0 III",,"-0.085","23 15 53","-09 05 15","4.21",,,,,,
"HD 219828 b","0.066",,"3.8335","0.052","0.0",,"0.000641","81.1","G0IV","1.24","0.19","23 18 47","+18 38 45","8.04",,,,,"1.7",
"HD 221287 b","3.09",,"456.1","1.25","0.08",,"0.023629","52.9","F7 V","1.25","0.03","23 31 20","-58 12 35","7.82",,,,,,
"HD 222582 b","7.75",,"572.38","1.35","0.725",,"0.032143","42","G5","1","-0.01","23 41 51","-05 59 08","7.7",,,,,"1.15",
"HD 224693 b","0.71",,"26.73","0.233","0.05",,"0.002479","94","G2IV","1.33","0.343","23 59 54","-22 25 41","8.23",,,,,"1.7",
"HD 23079 b","2.61",,"738.459","1.65","0.1",,"0.047","34.8","F8/G0 V","1.1","-0.24","03 39 43","-52 54 57","7.1",,,,,"1.13",
"HD 23127 b","1.5",,"1214","2.4","0.44",,"0.026936","89.1","G2V","1.13","0.34","03 39 24","-60 04 40","8.58",,,,,,
"HD 231701 b","1.08",,"141.6","0.53","0.1",,"0.004889","108.4","F8V","1.14","0.07","19 32 04","+16 28 27","8.97",,,,,"1.35",
"HD 23596 b","7.19",,"1558","2.72","0.314",,"0.052","52","F8","1.27","0.32","03 48 00","+40 31 50","7.24",,,,,"2.09",
"HD 240210 b","6.9",,"501.75","1.33","0.15",,"0.009301","143","K3III","1.25","-0.18","23 10 29","+57 01 46","8.33",,,,,,
"HD 2638 b","0.48",,"3.4442","0.044","0.0",,"0.000819","53.71","G5","0.93","0.16","00 29 59","-05 45 50","9.44",,,,,,
"HD 27442 b","1.28",,"423.841","1.18","0.07",,"0.065193","18.1","K2 IV a","1.2","0.2","04 16 29","-59 18 07","4.44",,,,,"6.6",
"HD 27894 b","0.62",,"17.991","0.122","0.049",,"0.002879","42.37","K2 V","0.75","0.3","04 20 47","-59 24 39","9.36",,,,,,
"HD 28185 b","5.7",,"383","1.03","0.07",,"0.026","39.4","G5","1.24","0.24","04 26 26","-10 33 02","7.81",,,,,"1.03",
"HD 28254 b","1.16",,"1116","2.15","0.81",,"0.038256","56.2","G5V","1.06","0.36","04 24 51","-50 37 20","7.71",,,,,,
"HD 285968 b","0.0265",,"8.7836","0.066","0.0",,"0.007021","9.4","M2.5V","0.49","-0.1","04 42 56","+18 57 29","9.97",,"5.824","6.462","5.607","0.53",
"HD 290327 b","2.54",,"2443","3.43","0.08",,"0.062477","54.9","G5IV","0.9","-0.11","05 23 22","-02 16 39","8.96",,,,,,
"HD 30177 b","9.17",,"2819.654","3.86","0.3",,"0.07","55","G8 V","0.95","0.25","04 41 54","-58 01 14","8.41",,,,,"1.12",
"HD 30562 b","1.29",,"1157","2.3","0.76",,"0.086792","26.5","F8V","1.219","0.243","04 48 36","-05 40 27","5.77",,,,,"1.637",
"HD 31253 b","0.5",,"466","1.26","0.3",,"0.023411","53.82","F8","1.23","0.16","04 54 44","+12 21 08","7.13",,,,,"1.71",
"HD 32518 b","3.04",,"157.54","0.59","0.01",,"0.005026","117.4","K1III","1.13","-0.15","05 09 37","+69 38 22","6.44",,,,,"10.22",
"HD 330075 b","0.76",,"3.369","0.043","0.0",,"0.000857","50.2","G5","0.95","0.03","15 49 37","-49 57 48","9.36",,,,,,
"HD 33283 b","0.33",,"18.179","0.168","0.48",,"0.001953","86","G3V","1.24","0.366","05 08 01","-26 47 50","8.05",,,,,"1.2",
"HD 33564 b","9.1",,"388","1.1","0.34",,"0.052431","20.98","F6 V","1.25","-0.12","05 22 33","+79 13 52","5.08",,,,,"1.1",
"HD 34445 b","0.79",,"1049","2.07","0.27",,"0.044516","46.5","G0","1.07","0.14","05 17 41","+07 21 12","7.31",,,,,"1.38",
"HD 3651 b","0.2",,"62.23","0.284","0.63","83","0.025818","11","K0 V","0.79","0.05","00 39 21","+21 15 01","5.8",,,,,"0.947",
"HD 37124 b","0.64",,"154.46","0.529","0.055",,"0.01603","33","G4 V","0.91","-0.32","05 37 02","+20 43 50","7.68",,,,,"0.82",
"HD 37124 c","0.683",,"2295","3.19","0.2",,"0.096667","33","G4 V","0.91","-0.32","05 37 02","+20 43 50","7.68",,,,,"0.82",
"HD 37124 d","0.624",,"843.6","1.64","0.14",,"0.049697","33","G4 V","0.91","-0.32","05 37 02","+20 43 50","7.68",,,,,"0.82",
"HD 37605 b","2.3",,"55","0.25","0.677",,"0.005828","42.9","K0V","0.8","0.39","05 40 01","+06 03 38","8.69",,,,,,
"HD 38529 b","0.78",,"14.3104","0.131","0.248",,"0.003087","42.43","G4 IV","1.39","0.313","05 46 34","+01 10 05","5.94",,,,,"2.44",
"HD 38529 c","17.7",,"2134.76","3.695","0.36","48.3","0.087085","42.43","G4 IV","1.39","0.313","05 46 34","+01 10 05","5.94",,,,,"2.44",
"HD 38801 b","10.7",,"696.3","1.7","0.0",,"0.017103","99.4","K0IV","1.36","0.26","05 47 59","-08 19 40","8.26",,,,,"2.53",
"HD 39091 b","10.35",,"2063.818","3.29","0.62",,"0.16","20.55","G1 IV","1.1","0.09","05 37 09","-80 28 08","5.67",,,,,"2.1",
"HD 40307 b","0.0132",,"4.3115","0.047","0.0",,"0.003672","12.8","K2.5V",,"-0.31","05 54 04","-60 01 24","7.17",,"4.97","5.41","4.79",,
"HD 40307 c","0.0216",,"9.62","0.081","0.0",,"0.006328","12.8","K2.5V",,"-0.31","05 54 04","-60 01 24","7.17",,"4.97","5.41","4.79",,
"HD 40307 d","0.0288",,"20.46","0.134","0.0",,"0.010469","12.8","K2.5V",,"-0.31","05 54 04","-60 01 24","7.17",,"4.97","5.41","4.79",,
"HD 40979 b","3.32",,"267.2","0.811","0.23",,"0.024","33.3","F8 V","1.08","0.194","06 04 29","+44 15 37","6.74",,,,,"1.21",
"HD 41004 A b","2.54",,"963","1.64","0.39",,"0.038588","42.5","K1 V","0.7","-0.09","05 59 49","-48 14 22","8.65",,,,,,
"HD 41004 B b","18.4",,"1.3283","0.0177","0.081",,"0.000411","43.03","M2","0.4","-0.01","05 59 50","-48 14 23","12.33",,,,,,
"HD 4113 b","1.56",,"526.62","1.28","0.903",,"0.029091","44","G5V","0.99","0.2","00 43 13","-37 58 57","7.88",,,,,,
"HD 4203 b","2.07",,"431.88","1.164","0.519",,"0.015019","77.5","G5","1.06","0.22","00 44 41","+20 26 56","8.68",,,,,"1.33",
"HD 4208 b","0.8",,"829","1.7","0.04",,"0.050147","33.9","G5 V","0.93","-0.24","00 44 26","-26 30 56","7.79",,,,,"0.85",
"HD 4308 b","0.0405",,"15.609","0.118","0.27",,"0.005388","21.9","G5 V","0.83","-0.31","00 44 39","-65 38 58","6.54",,,,,"0.92",
"HD 4313 b","2.3",,"356","1.19","0.041",,"0.008686","137","G5 D","1.72","0.14","00 45 40","+07 50 42","7.83",,,,,"4.9",
"HD 43197 b","0.6",,"327.8","0.92","0.83",,"0.016758","54.9","K0","0.96","0.4","06 13 36","-29 53 50","8.95",,,,,,
"HD 43691 b","2.49",,"36.96","0.24","0.14",,"0.002575","93.2","G0IV","1.38","0.28","06 19 35","+41 05 32","8.03",,,,,,
"HD 44219 b","0.58",,"472.3","1.19","0.61",,"0.023597","50.43","G5","1","0.03","06 20 14","-10 43 30","7.7",,,,,,
"HD 45350 b","1.79",,"890.76","1.92","0.778",,"0.039184","49","G5 IV","1.02","0.29","06 28 45","+38 57 46","7.88",,,,,"1.27",
"HD 45364 b","0.1872",,"226.93","0.6813","0.1684",,"0.020899","32.6","K0V","0.82","-0.17","06 25 38","-31 28 51","8.08",,,,,,
"HD 45364 c","0.6579",,"342.85","0.8972","0.0974",,"0.027521","32.6","K0V","0.82","-0.17","06 25 38","-31 28 51","8.08",,,,,,
"HD 45652 b","0.47",,"43.6","0.23","0.38",,"0.006389","36","G8-K0",,"0.29","06 29 13","+10 56 02","8.1",,,,,,
"HD 46375 b","0.249",,"3.024","0.041","0.04",,"0.001","33.4","K1 IV","0.91","0.24","06 33 12","+05 27 46","7.94",,,,,"1",
"HD 47186 b","0.07167",,"4.0845","0.05","0.038",,"0.001321","37.84","G5V","0.99","0.23","06 36 09","-27 37 20","7.8",,"6.1","6.42","6.01",,
"HD 47186 c","0.35061",,"1353.6","2.395","0.249",,"0.063293","37.84","G5V","0.99","0.23","06 36 09","-27 37 20","7.8",,"6.1","6.42","6.01",,
"HD 47536 b","5",,"430",,"0.2",,,"121.36","K1 III","0.94","-0.68","06 37 47","-32 20 23","5.25",,,,,"23.47",
"HD 47536 c","7",,"2500",,,,,"121.36","K1 III","0.94","-0.68","06 37 47","-32 20 23","5.25",,,,,"23.47",
"HD 48265 b","1.16",,"700","1.51","0.18",,"0.017277","87.4","G5V","0.93","0.17","06 40 02","-48 32 31","8.07",,,,,,
"HD 49674 b","0.115",,"4.9437","0.058","0.23",,"0.001425","40.7","G5 V","1.07","0.25","06 51 30","+40 52 03","8.1",,,,,"0.94",
"HD 50499 b","1.71",,"2582.7","3.86","0.23",,"0.081676","47.26","G IV","1.27","0.23","06 52 02","-33 54 56","7.22",,,,,"1.38",
"HD 50554 b","4.9",,"1279","2.38","0.42",,"0.077","31.03","F8","1.04","-0.07","06 54 42","+24 14 44","6.86",,,,,"1.11",
